The lobster knuckles ( special of the day ) were ok , but moderately tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster brass_knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster brass_knuckles', 'food style_options', 'neutral', 'ok'], ['lobster brass_knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster brass_knucks ( special of the day ) were ok , but pretty tasteless .####[['lobster brass_knucks', 'food style_options', 'neutral', 'ok'], ['lobster brass_knucks', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( extra of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but moderately tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but middling tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the Clarence_Day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but moderately tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) exist ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( exceptional of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the Clarence_Day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster brass_knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster brass_knuckles', 'food style_options', 'neutral', 'ok'], ['lobster brass_knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but fairly tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) constitute ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knucks ( special of the day ) were ok , but pretty tasteless .####[['lobster knucks', 'food style_options', 'neutral', 'ok'], ['lobster knucks', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the 24-hour_interval ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster metacarpophalangeal_joint ( special of the day ) were ok , but pretty tasteless .####[['lobster metacarpophalangeal_joint', 'food style_options', 'neutral', 'ok'], ['lobster metacarpophalangeal_joint', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster brass_knucks ( special of the day ) were ok , but pretty tasteless .####[['lobster brass_knucks', 'food style_options', 'neutral', 'ok'], ['lobster brass_knucks', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) make_up ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( extra of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but moderately tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the 24-hour_interval ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster brass_knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster brass_knuckles', 'food style_options', 'neutral', 'ok'], ['lobster brass_knuckles', 'food quality', 'negative', 'tasteless']]
The lobster brass_knucks ( special of the day ) were ok , but pretty tasteless .####[['lobster brass_knucks', 'food style_options', 'neutral', 'ok'], ['lobster brass_knucks', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) make_up ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) equal ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knucks ( special of the day ) were ok , but pretty tasteless .####[['lobster knucks', 'food style_options', 'neutral', 'ok'], ['lobster knucks', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , just pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knucks ( special of the day ) were ok , but pretty tasteless .####[['lobster knucks', 'food style_options', 'neutral', 'ok'], ['lobster knucks', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles ( special of the day ) cost ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
