restaurant food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive might not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very if .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and it very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and where very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very it .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
taste food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
tasted food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not these good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive might not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not these good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very where .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and where very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very where .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive where not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
