Bar food expensive and not excessive good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive but not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and  very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not Extremely good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and bad very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very bad .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very bad .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not excessive good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not Extremely good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive But not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food costly and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive also not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive & not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very great .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not excessive good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very great .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Pub food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very great .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
