\# Annotated examples,Approach,\# n_train_column_tasd,\# n_train_column_asqp,rest15_tasd_f1,rest15_asqp_f1,rest16_tasd_f1,rest16_asqp_f1,flightabsa_tasd_f1,flightabsa_asqp_f1,coursera_tasd_f1,coursera_asqp_f1,hotels_tasd_f1,hotels_asqp_f1,tasd_avg,asqp_avg
0,['0-shot Gemma'],0,0,30.355097365406642,24.733727810650887,45.50625711035267,28.964691801316576,51.80722891566266,42.37154150197628,29.499072356215216,13.356766256590511,38.97280966767371,23.018607856650586,39.22809308306218,26.48906704543697
0,LLMA \textbackslash w Paraphrase,full,full,27.703719388792543,18.537692472430468,47.7287977812937,26.07266348300618,52.10036051453541,42.577842448354595,30.922514381248465,13.405703592175124,40.73834061252573,26.26545628252709,39.83874653567917,25.37187165569869
0,LLMA \textbackslash w DLO,full,full,25.81733953471818,18.876696561393054,47.40770952075063,26.965651809994124,51.75436144518542,42.820006474100744,30.601219126286885,13.375756200426327,40.70485050936332,24.96585090561251,39.257096027260886,25.40079239030535
10,['k-shot Gemma'],10,10,54.467564259485926,39.950372208436725,66.746126340882,46.22812311406156,60.35613870665417,45.23809523809524,41.69312169312169,22.314911366006257,56.51465798045603,31.40877598152425,55.95552179611997,37.028055581624805
10,Paraphrase,10,10,8.74562018220042,1.3213213213213213,6.659461733005529,3.560966187894839,8.820960698689955,3.439099283520983,15.942500430689407,4.745011086474501,14.909699470848812,2.634099498196746,11.015648503086826,3.1400994754816787
10,DLO,10,10,15.841342574824168,4.365971168149675,13.592446800575988,5.1788611874035375,16.069868995633186,4.871052615054223,22.927927927927925,4.473000283682101,18.07206127808614,3.531386817166561,17.30072951540948,4.484054414291219
10,LLMA \textbackslash w Paraphrase,full,full,49.089373303154055,35.035543981614076,62.73603993334424,44.59230504673071,59.87344278641675,45.89204377964761,38.46129452023006,22.470194488649472,55.689603616645726,32.827205279763966,53.16995083195817,36.163458515281164
10,LLMA \textbackslash w DLO,full,full,49.233732185353134,37.18574065637021,62.37135646394354,46.19582603667739,61.39748533018476,46.47478999505114,39.221149387067136,23.371348919881115,55.27195355379297,31.436163369254484,53.49913538406831,36.93277379544686
10,EDA \textbackslash w DLO,110,110,30.181198740457432,9.340943120997718,19.159064595149335,11.80149931913233,22.663755458515283,11.949078835759675,28.82875051446856,14.189198762811676,25.65453503037932,7.882941694019164,25.297460867793983,11.032732346544112
10,QAIE,26.4,45.2,20.110322019697282,9.963920241933915,12.374343704361879,14.780372262206152,17.76430658614706,15.382201256542412,25.183107075528984,17.54302894604891,21.68770359105825,9.8565653554507,19.423956595358693,13.505217612436416
50,['k-shot Gemma'],50,50,62.122186495176855,41.73913043478261,68.52637962401455,51.09780439121756,64.59747817652764,48.36956521739131,44.80369515011547,25.86002372479241,62.97273526824977,43.82665576451348,60.60449494281686,42.17863590653947
50,Paraphrase,50,50,36.91721776375668,25.550443048487743,35.87154889698279,23.49838931042216,33.571312497600495,17.97893691843384,34.25753589462511,19.376804585293815,40.09934801354023,23.088673750966016,36.14339261330106,21.89864952272071
50,DLO,50,50,39.541648002491584,26.630631600057576,43.9498572905659,29.567418624350818,42.923839337302574,28.744608930988466,36.044116946063724,19.07555920387035,44.72195803538393,27.19987711413078,41.43628392236154,26.243619094679595
50,LLMA \textbackslash w Paraphrase,full,full,56.209178197891745,37.60782568614279,62.199544654494744,46.76281467082982,62.46834726540779,47.16417846974448,44.35883159265509,25.706157625882874,60.57833172118477,43.18991357158601,57.16284668632683,40.086178004837194
50,LLMA \textbackslash w DLO,full,full,58.4048593642698,40.37671468468437,62.02996996733653,49.848950818386626,62.569577461878,48.983490085158664,44.38701064988948,25.69486079743491,61.426991734566194,44.24407475917843,57.763681835588,41.8296182289686
50,EDA \textbackslash w DLO,550,550,44.13742609745451,30.925355675482376,45.71900340830007,34.58894200939697,45.64209708541681,36.72556696451536,37.88634516599761,24.565981725665218,45.716405515711955,32.5064337341039,43.820255454576184,31.862456021832763
50,QAIE,141.8,248.8,45.00876198150979,33.87495144263967,45.09288400013376,35.20676244350536,48.43719238654084,33.981226192462984,36.22661276133225,22.451073865069443,50.51289103719743,35.95206462502064,45.05566843334281,32.29321571373962
full,Paraphrase,full,full,63.06,46.93,71.97,57.93,69.7361943248691,57.762886804847064,51.8610897555602,32.3400590908096,67.69772505942741,53.86950286970991,64.86500182797134,49.766489753073316
full,DLO,full,full,62.95,48.18,71.79,59.79,68.94966288216499,58.33226399234907,52.58246208413593,32.53784442316158,68.56021485383113,55.45378368379545,64.96646796402642,50.858778419861224
