\# Annotated examples,Approach,\# n_train_column_tasd,\# n_train_column_asqp,rest15_tasd_recall,rest15_asqp_recall,rest16_tasd_recall,rest16_asqp_recall,flightabsa_tasd_recall,flightabsa_asqp_recall,coursera_tasd_recall,coursera_asqp_recall,hotels_tasd_recall,hotels_asqp_recall,tasd_avg,asqp_avg
0,['0-shot Gemma'],0,0,31.360946745562128,26.28930817610063,46.56577415599534,30.287859824780977,56.89981096408317,45.42372881355932,32.58196721311475,15.139442231075698,41.0174880763116,23.1622746185853,41.6851974310134,28.06052273282038
0,LLMA \textbackslash w Paraphrase,full,full,28.544378698224854,20.251572327044023,49.679715302491104,28.535669586983726,55.68998109640832,46.30508474576271,34.057377049180324,15.737051792828685,43.21656050955414,27.17663421418637,42.23760253117175,27.6012025333611
0,LLMA \textbackslash w DLO,full,full,27.360946745562124,20.90566037735849,49.26658905704308,29.812265331664584,56.975425330812854,47.389830508474574,34.4672131147541,16.01593625498008,43.84737678855326,26.213592233009706,42.38351020734508,28.067456941097486
10,['k-shot Gemma'],10,10,52.662721893491124,40.503144654088054,65.19208381839347,47.934918648310386,60.86956521739131,45.08474576271186,40.36885245901639,21.314741035856574,55.16693163751988,28.29403606102635,54.85203100516243,36.62631723239865
10,Paraphrase,10,10,7.384615384615384,1.106918238993711,5.931198102016607,3.229036295369211,7.637051039697542,2.847457627118644,14.508196721311474,4.2629482071713145,12.388535031847132,2.058414464534075,9.569919255897629,2.7009549666373913
10,DLO,10,10,13.467455621301776,4.125786163522013,13.946449359720607,4.90613266583229,13.91304347826087,4.033898305084746,20.86065573770492,4.0239043824701195,17.39268680445151,3.411927877947295,15.916058200287939,4.1003298789712925
10,LLMA \textbackslash w Paraphrase,full,full,46.98224852071006,36.42767295597484,61.75563463819692,45.90738423028786,58.676748582230616,45.932203389830505,38.64754098360656,22.98804780876494,53.82165605095541,31.07093184979138,51.97676575513992,36.46524804692991
10,LLMA \textbackslash w DLO,full,full,48.18934911242603,38.9937106918239,61.28055878928988,48.81101376720901,61.512287334593566,47.35593220338983,39.631147540983605,23.98406374501992,54.49920508744039,29.930651872399444,53.022509572946696,37.81507445596842
10,EDA \textbackslash w Paraphrase,60,60,20.16568047337278,11.345911949685533,15.065243179122183,12.540675844806007,16.672967863894137,9.661016949152541,21.885245901639344,8.60557768924303,24.394904458598727,6.036161335187761,19.636808375325437,9.637868753614974
10,EDA \textbackslash w Paraphrase,110,110,22.887573964497044,11.270440251572326,15.278766310794783,12.740926157697121,18.90359168241966,11.559322033898304,23.811475409836067,9.52191235059761,23.980891719745223,5.64673157162726,20.972459817458553,10.147866473078526
